method,attack,non_iid,byzantine_fraction,threshold,mean_accuracy,std_accuracy,ci_low,ci_high,mean_tpr,mean_fpr
FedAvg,sign_flip,False,0.3,0.5,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,,
Krum,sign_flip,False,0.3,0.5,0.9649122807017545,0.014678246079545165,0.9445356084615335,0.9852889529419755,,
MultiKrum,sign_flip,False,0.3,0.5,0.968421052631579,0.011898824531798727,0.9519028360671189,0.984939269196039,,
TrimmedMean,sign_flip,False,0.3,0.5,0.9719298245614034,0.0085947008518708,0.9599984670059954,0.9838611821168114,,
Bulyan,sign_flip,False,0.3,0.5,0.9614035087719298,0.011898824531798753,0.9448852922074698,0.9779217253363899,,
FLTrust,sign_flip,False,0.3,0.5,0.8228070175438595,0.28877640635186436,0.4219210975877374,1.2236929374999816,,
FLAME,sign_flip,False,0.3,0.5,0.968421052631579,0.011898824531798727,0.9519028360671189,0.984939269196039,,
PoEx,sign_flip,False,0.3,0.5,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,0.0,0.0
FedAvg,label_flip,False,0.3,0.5,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,,
Krum,label_flip,False,0.3,0.5,0.9649122807017545,0.014678246079545165,0.9445356084615335,0.9852889529419755,,
MultiKrum,label_flip,False,0.3,0.5,0.968421052631579,0.011898824531798727,0.9519028360671189,0.984939269196039,,
TrimmedMean,label_flip,False,0.3,0.5,0.9719298245614034,0.0085947008518708,0.9599984670059954,0.9838611821168114,,
Bulyan,label_flip,False,0.3,0.5,0.9614035087719298,0.011898824531798753,0.9448852922074698,0.9779217253363899,,
FLTrust,label_flip,False,0.3,0.5,0.8228070175438595,0.28877640635186436,0.4219210975877374,1.2236929374999816,,
FLAME,label_flip,False,0.3,0.5,0.968421052631579,0.011898824531798727,0.9519028360671189,0.984939269196039,,
PoEx,label_flip,False,0.3,0.5,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,0.0,0.0
FedAvg,adaptive,False,0.3,0.5,0.9631578947368421,0.010229740166395296,0.9489567387306254,0.9773590507430588,,
Krum,adaptive,False,0.3,0.5,0.9596491228070174,0.016269506132448593,0.9370634274743062,0.9822348181397287,,
MultiKrum,adaptive,False,0.3,0.5,0.9631578947368421,0.010229740166395296,0.9489567387306254,0.9773590507430588,,
TrimmedMean,adaptive,False,0.3,0.5,0.9649122807017545,0.012405382126079788,0.9476908494607232,0.9821337119427858,,
Bulyan,adaptive,False,0.3,0.5,0.9666666666666666,0.011637279966159304,0.9505115321667369,0.9828218011665962,,
FLTrust,adaptive,False,0.3,0.5,0.9666666666666668,0.010229740166395296,0.95246551066045,0.9808678226728835,,
FLAME,adaptive,False,0.3,0.5,0.968421052631579,0.011898824531798727,0.9519028360671189,0.984939269196039,,
PoEx,adaptive,False,0.3,0.5,0.9631578947368421,0.010229740166395296,0.9489567387306254,0.9773590507430588,0.0,0.0
FedAvg,sign_flip,True,0.3,0.5,0.8947368421052632,0.09382275057628729,0.7644899838083998,1.0249837004021265,,
Krum,sign_flip,True,0.3,0.5,0.9122807017543859,0.023537557657892515,0.8796053333806026,0.9449560701281692,,
MultiKrum,sign_flip,True,0.3,0.5,0.9315789473684211,0.052455846974477374,0.8587585575827749,1.0043993371540674,,
TrimmedMean,sign_flip,True,0.3,0.5,0.9473684210526315,0.02773927772077526,0.9088601301278472,0.9858767119774159,,
Bulyan,sign_flip,True,0.3,0.5,0.9122807017543859,0.023537557657892515,0.8796053333806026,0.9449560701281692,,
FLTrust,sign_flip,True,0.3,0.5,0.8035087719298245,0.16741291842926026,0.5711023829699255,1.0359151608897235,,
FLAME,sign_flip,True,0.3,0.5,0.787719298245614,0.18057396264815526,0.5370424508852936,1.0383961456059345,,
PoEx,sign_flip,True,0.3,0.5,0.8947368421052632,0.09382275057628729,0.7644899838083998,1.0249837004021265,0.0,0.0
FedAvg,label_flip,True,0.3,0.5,0.8947368421052632,0.09382275057628729,0.7644899838083998,1.0249837004021265,,
Krum,label_flip,True,0.3,0.5,0.9122807017543859,0.023537557657892515,0.8796053333806026,0.9449560701281692,,
MultiKrum,label_flip,True,0.3,0.5,0.9315789473684211,0.052455846974477374,0.8587585575827749,1.0043993371540674,,
TrimmedMean,label_flip,True,0.3,0.5,0.9473684210526315,0.02773927772077526,0.9088601301278472,0.9858767119774159,,
Bulyan,label_flip,True,0.3,0.5,0.9122807017543859,0.023537557657892515,0.8796053333806026,0.9449560701281692,,
FLTrust,label_flip,True,0.3,0.5,0.8035087719298245,0.16741291842926026,0.5711023829699255,1.0359151608897235,,
FLAME,label_flip,True,0.3,0.5,0.7894736842105263,0.17718429716424697,0.5435024469207335,1.0354449215003192,,
PoEx,label_flip,True,0.3,0.5,0.8947368421052632,0.09382275057628729,0.7644899838083998,1.0249837004021265,0.0,0.0
FedAvg,adaptive,True,0.3,0.5,0.9596491228070174,0.016269506132448614,0.9370634274743062,0.9822348181397287,,
Krum,adaptive,True,0.3,0.5,0.9122807017543859,0.023537557657892515,0.8796053333806026,0.9449560701281692,,
MultiKrum,adaptive,True,0.3,0.5,0.9140350877192981,0.06431685185902934,0.8247489834564311,1.003321191982165,,
TrimmedMean,adaptive,True,0.3,0.5,0.9456140350877194,0.025664454102329454,0.9099860611027263,0.9812420090727124,,
Bulyan,adaptive,True,0.3,0.5,0.9122807017543859,0.023537557657892515,0.8796053333806026,0.9449560701281692,,
FLTrust,adaptive,True,0.3,0.5,0.8421052631578947,0.09877675972111752,0.7049811376403967,0.9792293886753927,,
FLAME,adaptive,True,0.3,0.5,0.8666666666666666,0.08761397185392118,0.745038975016288,0.9882943583170452,,
PoEx,adaptive,True,0.3,0.5,0.9596491228070174,0.016269506132448614,0.9370634274743062,0.9822348181397287,0.0,0.0
PoEx,sign_flip,False,0.3,0.1,0.3350877192982456,0.33537693039574795,-0.13049009909852305,0.8006655376950143,0.4666666666666667,0.8
PoEx,sign_flip,False,0.3,0.2,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,0.03333333333333334,0.014285714285714285
PoEx,sign_flip,False,0.3,0.3,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,0.0,0.0
PoEx,sign_flip,False,0.3,0.4,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,0.0,0.0
PoEx,sign_flip,False,0.3,0.5,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,0.0,0.0
PoEx,sign_flip,False,0.3,0.6,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,0.0,0.0
PoEx,sign_flip,False,0.3,0.7,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,0.0,0.0
PoEx,sign_flip,False,0.3,0.8,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,0.0,0.0
PoEx,sign_flip,False,0.3,0.9,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,0.0,0.0
FedAvg,sign_flip,False,0.1,0.5,0.9666666666666666,0.010229740166395296,0.9524655106604498,0.9808678226728833,,
Krum,sign_flip,False,0.1,0.5,0.9649122807017545,0.014678246079545165,0.9445356084615335,0.9852889529419755,,
MultiKrum,sign_flip,False,0.1,0.5,0.9649122807017545,0.011095711088310138,0.9495089643318407,0.9803155970716683,,
FLTrust,sign_flip,False,0.1,0.5,0.9649122807017545,0.011095711088310138,0.9495089643318407,0.9803155970716683,,
FLAME,sign_flip,False,0.1,0.5,0.9649122807017545,0.014678246079545204,0.9445356084615335,0.9852889529419755,,
PoEx,sign_flip,False,0.1,0.5,0.9666666666666666,0.010229740166395296,0.9524655106604498,0.9808678226728833,0.0,0.0
FedAvg,sign_flip,False,0.2,0.5,0.9614035087719298,0.01312862240973313,0.943178059058183,0.9796289584856767,,
Krum,sign_flip,False,0.2,0.5,0.9649122807017545,0.014678246079545165,0.9445356084615335,0.9852889529419755,,
MultiKrum,sign_flip,False,0.2,0.5,0.9649122807017545,0.012405382126079788,0.9476908494607232,0.9821337119427858,,
FLTrust,sign_flip,False,0.2,0.5,0.8350877192982458,0.2598268713545043,0.47439019671271,1.1957852418837815,,
FLAME,sign_flip,False,0.2,0.5,0.9649122807017545,0.007845852552630865,0.9540204912438267,0.9758040701596823,,
PoEx,sign_flip,False,0.2,0.5,0.9614035087719298,0.01312862240973313,0.943178059058183,0.9796289584856767,0.0,0.0
FedAvg,sign_flip,False,0.3,0.5,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,,
Krum,sign_flip,False,0.3,0.5,0.9649122807017545,0.014678246079545165,0.9445356084615335,0.9852889529419755,,
MultiKrum,sign_flip,False,0.3,0.5,0.968421052631579,0.011898824531798727,0.9519028360671189,0.984939269196039,,
FLTrust,sign_flip,False,0.3,0.5,0.8228070175438595,0.28877640635186436,0.4219210975877374,1.2236929374999816,,
FLAME,sign_flip,False,0.3,0.5,0.968421052631579,0.011898824531798727,0.9519028360671189,0.984939269196039,,
PoEx,sign_flip,False,0.3,0.5,0.9719298245614036,0.0035087719298245723,0.9670588682364952,0.9768007808863121,0.0,0.0
