run,seed,method,attack_type,attack_intensity,n_malicious,round,accuracy,precision,recall,f1_score,auc_roc,time,comm_bytes_per_client,comm_bytes_total,avg_nsds,min_trust,max_trust
0,42,fedavg,none,0.0,0,1,0.82,0.9210526315789473,0.7,0.7954545454545454,0.9339999999999999,0.005378007888793945,168,840,,,
0,42,fedavg,none,0.0,0,2,0.84,0.9047619047619048,0.76,0.8260869565217391,0.9046,0.004735469818115234,168,840,,,
0,42,fedavg,none,0.0,0,3,0.86,0.9090909090909091,0.8,0.851063829787234,0.9342,0.0049877166748046875,168,840,,,
0,42,fedavg,none,0.0,0,4,0.81,0.8444444444444444,0.76,0.8,0.916,0.004650592803955078,168,840,,,
0,42,fedavg,none,0.0,0,5,0.88,0.9318181818181818,0.82,0.8723404255319149,0.9308,0.004893064498901367,168,840,,,
1,43,fedavg,none,0.0,0,1,0.79,0.8085106382978723,0.76,0.7835051546391752,0.8550000000000001,0.004292011260986328,168,840,,,
1,43,fedavg,none,0.0,0,2,0.81,0.803921568627451,0.82,0.8118811881188119,0.8876,0.005566120147705078,168,840,,,
1,43,fedavg,none,0.0,0,3,0.83,0.8235294117647058,0.84,0.8316831683168316,0.8844,0.0049512386322021484,168,840,,,
1,43,fedavg,none,0.0,0,4,0.81,0.803921568627451,0.82,0.8118811881188119,0.8735999999999999,0.0045320987701416016,168,840,,,
1,43,fedavg,none,0.0,0,5,0.81,0.8163265306122449,0.8,0.8080808080808081,0.8503999999999999,0.0057828426361083984,168,840,,,
2,44,fedavg,none,0.0,0,1,0.8,0.7777777777777778,0.84,0.8076923076923077,0.848,0.004602670669555664,168,840,,,
2,44,fedavg,none,0.0,0,2,0.81,0.7818181818181819,0.86,0.819047619047619,0.8493999999999999,0.005478382110595703,168,840,,,
2,44,fedavg,none,0.0,0,3,0.78,0.7413793103448276,0.86,0.7962962962962963,0.8488,0.004723787307739258,168,840,,,
2,44,fedavg,none,0.0,0,4,0.81,0.8297872340425532,0.78,0.8041237113402062,0.8784,0.0050449371337890625,168,840,,,
2,44,fedavg,none,0.0,0,5,0.83,0.8113207547169812,0.86,0.8349514563106796,0.886,0.004966020584106445,168,840,,,
0,42,fedxchain,none,0.0,0,1,0.84,0.9047619047619048,0.76,0.8260869565217391,0.9301999999999999,1.3458588123321533,328,1640,0.17524585819135452,0.18999922622036639,0.21048896726981536
0,42,fedxchain,none,0.0,0,2,0.86,0.875,0.84,0.8571428571428571,0.8960000000000001,1.4264330863952637,328,1640,0.20911786247805247,0.1699713913201274,0.2186588550717118
0,42,fedxchain,none,0.0,0,3,0.82,0.8809523809523809,0.74,0.8043478260869565,0.919,1.3704452514648438,328,1640,0.17445400803063096,0.17786356672312234,0.21744170563063683
0,42,fedxchain,none,0.0,0,4,0.82,0.8636363636363636,0.76,0.8085106382978723,0.9184,1.3831288814544678,328,1640,0.14927202049758137,0.18188430747492507,0.22203575065719278
0,42,fedxchain,none,0.0,0,5,0.84,0.8863636363636364,0.78,0.8297872340425532,0.9002,1.5874431133270264,328,1640,0.1083980907504328,0.18862162690782747,0.2159791760062407
1,43,fedxchain,none,0.0,0,1,0.83,0.8235294117647058,0.84,0.8316831683168316,0.8612,1.541184902191162,328,1640,0.17639740575696633,0.17245974315648036,0.20953366458578504
1,43,fedxchain,none,0.0,0,2,0.82,0.7857142857142857,0.88,0.8301886792452831,0.867,1.5548124313354492,328,1640,0.14823058138035577,0.18825027503822142,0.21411688835067522
1,43,fedxchain,none,0.0,0,3,0.81,0.8163265306122449,0.8,0.8080808080808081,0.8634000000000001,1.5962889194488525,328,1640,0.10335841076334824,0.1928627605848523,0.2082584788082284
1,43,fedxchain,none,0.0,0,4,0.82,0.7962962962962963,0.86,0.8269230769230769,0.8554,1.565779685974121,328,1640,0.12021971022780722,0.18241085584463615,0.21130511971150598
1,43,fedxchain,none,0.0,0,5,0.85,0.8888888888888888,0.8,0.8421052631578947,0.8776,1.561544418334961,328,1640,0.1383696608817716,0.1823682336909998,0.20996145587184742
2,44,fedxchain,none,0.0,0,1,0.75,0.7906976744186046,0.68,0.7311827956989247,0.8283999999999999,1.5259582996368408,328,1640,0.14216280363320774,0.19316617342866074,0.20759756804245172
2,44,fedxchain,none,0.0,0,2,0.78,0.8333333333333334,0.7,0.7608695652173914,0.8680000000000001,1.4589970111846924,328,1640,0.13913275773052555,0.19278807322625402,0.20816965636636542
2,44,fedxchain,none,0.0,0,3,0.79,0.8222222222222222,0.74,0.7789473684210526,0.8482,1.3199903964996338,328,1640,0.17606168899515534,0.17298597304472604,0.21808041474293835
2,44,fedxchain,none,0.0,0,4,0.8,0.8260869565217391,0.76,0.7916666666666666,0.8624,1.4141318798065186,328,1640,0.14372726144595455,0.1840394322824995,0.21118122882433413
2,44,fedxchain,none,0.0,0,5,0.8,0.8260869565217391,0.76,0.7916666666666666,0.8728,1.4493651390075684,328,1640,0.12928157123292838,0.1869716714581777,0.2152127823599443
0,42,fedavg,label_flip,0.3,1,1,0.84,0.9047619047619048,0.76,0.8260869565217391,0.9229999999999999,0.007486581802368164,168,840,,,
0,42,fedavg,label_flip,0.3,1,2,0.81,0.918918918918919,0.68,0.7816091954022989,0.9046,0.0050048828125,168,840,,,
0,42,fedavg,label_flip,0.3,1,3,0.84,0.9473684210526315,0.72,0.8181818181818182,0.8916,0.007646799087524414,168,840,,,
0,42,fedavg,label_flip,0.3,1,4,0.84,0.9473684210526315,0.72,0.8181818181818182,0.9084000000000001,0.0063822269439697266,168,840,,,
0,42,fedavg,label_flip,0.3,1,5,0.86,0.9285714285714286,0.78,0.8478260869565217,0.8996000000000001,0.008129596710205078,168,840,,,
1,43,fedavg,label_flip,0.3,1,1,0.78,0.8181818181818182,0.72,0.7659574468085106,0.8468,0.0060939788818359375,168,840,,,
1,43,fedavg,label_flip,0.3,1,2,0.77,0.7647058823529411,0.78,0.7722772277227723,0.8302,0.006856679916381836,168,840,,,
1,43,fedavg,label_flip,0.3,1,3,0.78,0.8333333333333334,0.7,0.7608695652173914,0.8312,0.006698131561279297,168,840,,,
1,43,fedavg,label_flip,0.3,1,4,0.85,0.8888888888888888,0.8,0.8421052631578947,0.8542,0.007241964340209961,168,840,,,
1,43,fedavg,label_flip,0.3,1,5,0.86,0.9090909090909091,0.8,0.851063829787234,0.9148000000000001,0.005837678909301758,168,840,,,
2,44,fedavg,label_flip,0.3,1,1,0.85,0.7966101694915254,0.94,0.8623853211009175,0.8784,0.006349325180053711,168,840,,,
2,44,fedavg,label_flip,0.3,1,2,0.79,0.7735849056603774,0.82,0.7961165048543689,0.8779999999999999,0.005205631256103516,168,840,,,
2,44,fedavg,label_flip,0.3,1,3,0.84,0.8863636363636364,0.78,0.8297872340425532,0.9002,0.005158662796020508,168,840,,,
2,44,fedavg,label_flip,0.3,1,4,0.79,0.7843137254901961,0.8,0.7920792079207921,0.8966,0.007987499237060547,168,840,,,
2,44,fedavg,label_flip,0.3,1,5,0.84,0.8695652173913043,0.8,0.8333333333333334,0.8692,0.007421731948852539,168,840,,,
0,42,fedxchain,label_flip,0.3,1,1,0.84,0.8695652173913043,0.8,0.8333333333333334,0.9224,1.4529054164886475,328,1640,0.237736620587978,0.18942900913865024,0.21024653999984502
0,42,fedxchain,label_flip,0.3,1,2,0.82,0.9,0.72,0.8,0.8732,1.4392588138580322,328,1640,0.17581002950177782,0.18910213934129555,0.21490040176086792
0,42,fedxchain,label_flip,0.3,1,3,0.81,0.8780487804878049,0.72,0.7912087912087912,0.9099999999999999,1.365189552307129,328,1640,0.18475151650710595,0.1870999834844952,0.2164748586789882
0,42,fedxchain,label_flip,0.3,1,4,0.8,0.9166666666666666,0.66,0.7674418604651163,0.9352,1.4486050605773926,328,1640,0.17359883791845515,0.17200995117487888,0.22571784899997996
0,42,fedxchain,label_flip,0.3,1,5,0.82,0.8636363636363636,0.76,0.8085106382978723,0.9199999999999999,1.5818829536437988,328,1640,0.14631501479850093,0.18251565663890526,0.21830216426004637
1,43,fedxchain,label_flip,0.3,1,1,0.78,0.7916666666666666,0.76,0.7755102040816326,0.8528,1.5449130535125732,328,1640,0.2180451900280726,0.17716604399126812,0.2154590610692808
1,43,fedxchain,label_flip,0.3,1,2,0.82,0.8333333333333334,0.8,0.8163265306122449,0.9024,1.4011106491088867,328,1640,0.20563665954218005,0.19750539211005003,0.2053455468967042
1,43,fedxchain,label_flip,0.3,1,3,0.8,0.875,0.7,0.7777777777777778,0.8712000000000001,1.37770676612854,328,1640,0.1593596757569474,0.18429841861595245,0.21488126990076037
1,43,fedxchain,label_flip,0.3,1,4,0.76,0.76,0.76,0.76,0.8596,1.3424432277679443,328,1640,0.1819579366919948,0.16325587276800632,0.2215485772033369
1,43,fedxchain,label_flip,0.3,1,5,0.84,0.8541666666666666,0.82,0.8367346938775511,0.9239999999999999,1.3841252326965332,328,1640,0.17202693387645202,0.1758848218500162,0.21729025039963126
2,44,fedxchain,label_flip,0.3,1,1,0.87,0.8936170212765957,0.84,0.865979381443299,0.9088,1.3786041736602783,328,1640,0.19196108996854486,0.18580818214603498,0.21058406702130963
2,44,fedxchain,label_flip,0.3,1,2,0.8,0.8260869565217391,0.76,0.7916666666666666,0.8543999999999999,1.3792698383331299,328,1640,0.19862276862460773,0.190032906902507,0.20980650833843095
2,44,fedxchain,label_flip,0.3,1,3,0.8,0.8571428571428571,0.72,0.782608695652174,0.8648,1.3276324272155762,328,1640,0.14068606782816032,0.19029773105147005,0.20811038476854024
2,44,fedxchain,label_flip,0.3,1,4,0.78,0.7692307692307693,0.8,0.7843137254901961,0.8452,1.373147964477539,328,1640,0.18457415728292778,0.18708668908110665,0.21439944768335717
2,44,fedxchain,label_flip,0.3,1,5,0.77,0.8,0.72,0.7578947368421053,0.8526,1.454768180847168,328,1640,0.17967558345348394,0.17959628130304847,0.21464217720572978
0,42,fedavg,gaussian_noise,0.5,1,1,0.82,0.9210526315789473,0.7,0.7954545454545454,0.9348000000000001,0.0059337615966796875,168,840,,,
0,42,fedavg,gaussian_noise,0.5,1,2,0.83,0.8837209302325582,0.76,0.8172043010752689,0.9166,0.007056713104248047,168,840,,,
0,42,fedavg,gaussian_noise,0.5,1,3,0.85,0.8723404255319149,0.82,0.845360824742268,0.9388,0.0065767765045166016,168,840,,,
0,42,fedavg,gaussian_noise,0.5,1,4,0.82,0.8636363636363636,0.76,0.8085106382978723,0.9068,0.006387948989868164,168,840,,,
0,42,fedavg,gaussian_noise,0.5,1,5,0.83,0.8837209302325582,0.76,0.8172043010752689,0.9122,0.008363485336303711,168,840,,,
1,43,fedavg,gaussian_noise,0.5,1,1,0.79,0.8085106382978723,0.76,0.7835051546391752,0.8538,0.0049016475677490234,168,840,,,
1,43,fedavg,gaussian_noise,0.5,1,2,0.81,0.803921568627451,0.82,0.8118811881188119,0.8889999999999999,0.006981611251831055,168,840,,,
1,43,fedavg,gaussian_noise,0.5,1,3,0.83,0.8235294117647058,0.84,0.8316831683168316,0.8824,0.007179975509643555,168,840,,,
1,43,fedavg,gaussian_noise,0.5,1,4,0.78,0.8181818181818182,0.72,0.7659574468085106,0.8639999999999999,0.0069005489349365234,168,840,,,
1,43,fedavg,gaussian_noise,0.5,1,5,0.8,0.8125,0.78,0.7959183673469388,0.856,0.005420207977294922,168,840,,,
2,44,fedavg,gaussian_noise,0.5,1,1,0.8,0.7777777777777778,0.84,0.8076923076923077,0.848,0.008220672607421875,168,840,,,
2,44,fedavg,gaussian_noise,0.5,1,2,0.81,0.7818181818181819,0.86,0.819047619047619,0.8493999999999999,0.006287574768066406,168,840,,,
2,44,fedavg,gaussian_noise,0.5,1,3,0.82,0.8076923076923077,0.84,0.8235294117647058,0.8844,0.004703998565673828,168,840,,,
2,44,fedavg,gaussian_noise,0.5,1,4,0.8,0.8,0.8,0.8,0.8872,0.006407499313354492,168,840,,,
2,44,fedavg,gaussian_noise,0.5,1,5,0.8,0.7777777777777778,0.84,0.8076923076923077,0.9087999999999999,0.00626373291015625,168,840,,,
0,42,fedxchain,gaussian_noise,0.5,1,1,0.84,0.9047619047619048,0.76,0.8260869565217391,0.929,1.3854589462280273,328,1640,0.2054201596043681,0.18478117893320029,0.2097901429826873
0,42,fedxchain,gaussian_noise,0.5,1,2,0.86,0.875,0.84,0.8571428571428571,0.8992,1.420893907546997,328,1640,0.18840850125199143,0.1792957568355391,0.2204843179480348
0,42,fedxchain,gaussian_noise,0.5,1,3,0.82,0.8636363636363636,0.76,0.8085106382978723,0.9116,1.3806486129760742,328,1640,0.12397376009957017,0.18742648313243035,0.21461108278712354
0,42,fedxchain,gaussian_noise,0.5,1,4,0.83,0.8837209302325582,0.76,0.8172043010752689,0.9218000000000001,1.3560948371887207,328,1640,0.12962947341207182,0.1911916840970928,0.21341770523845782
0,42,fedxchain,gaussian_noise,0.5,1,5,0.82,0.9,0.72,0.8,0.9136,1.3881685733795166,328,1640,0.12009802720336633,0.18511479768816544,0.21577734757121375
1,43,fedxchain,gaussian_noise,0.5,1,1,0.83,0.8235294117647058,0.84,0.8316831683168316,0.8612,1.376016616821289,328,1640,0.22489027791296629,0.17762477348682276,0.2142372658785187
1,43,fedxchain,gaussian_noise,0.5,1,2,0.82,0.7857142857142857,0.88,0.8301886792452831,0.8678,1.3524208068847656,328,1640,0.13710344664990642,0.1884296527232164,0.21410490269523635
1,43,fedxchain,gaussian_noise,0.5,1,3,0.82,0.8333333333333334,0.8,0.8163265306122449,0.8636,1.3674538135528564,328,1640,0.16371502265198976,0.18393410475752123,0.21706740321168014
1,43,fedxchain,gaussian_noise,0.5,1,4,0.82,0.7962962962962963,0.86,0.8269230769230769,0.8603999999999999,1.3408992290496826,328,1640,0.1522563424754685,0.1870507311583261,0.2099130023794176
1,43,fedxchain,gaussian_noise,0.5,1,5,0.84,0.8695652173913043,0.8,0.8333333333333334,0.8840000000000001,1.3635973930358887,328,1640,0.11698989843346497,0.18796933604556423,0.209590345050822
2,44,fedxchain,gaussian_noise,0.5,1,1,0.75,0.7906976744186046,0.68,0.7311827956989247,0.8292,1.3489680290222168,328,1640,0.16490268841939096,0.18823406598894285,0.2065334720632165
2,44,fedxchain,gaussian_noise,0.5,1,2,0.76,0.8095238095238095,0.68,0.7391304347826086,0.8438,1.405789852142334,328,1640,0.13711994109861386,0.19058642039605564,0.2099217941294595
2,44,fedxchain,gaussian_noise,0.5,1,3,0.77,0.813953488372093,0.7,0.7526881720430108,0.857,1.3863260746002197,328,1640,0.19324171156694173,0.16446733243046754,0.22296678570901873
2,44,fedxchain,gaussian_noise,0.5,1,4,0.78,0.8181818181818182,0.72,0.7659574468085106,0.854,1.4866974353790283,328,1640,0.15157013382127413,0.17675840675884266,0.21568606819999175
2,44,fedxchain,gaussian_noise,0.5,1,5,0.81,0.8297872340425532,0.78,0.8041237113402062,0.8688,1.3852643966674805,328,1640,0.13852685089898997,0.17716843572145766,0.21015307492723528
